out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
prsn,mon,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
prsn,day,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
prsn,1hr,kg m-2 s-1,Snowfall Flux,snowfall_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
mrros,mon,kg m-2 s-1,Surface Runoff,surface_runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrros,day,kg m-2 s-1,Surface Runoff,surface_runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrros,6hr,kg m-2 s-1,Surface Runoff,surface_runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrro,mon,kg m-2 s-1,Total Runoff,runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrro,day,kg m-2 s-1,Total Runoff,runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrro,6hr,kg m-2 s-1,Total Runoff,runoff_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
snm,mon,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
snm,day,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
snm,6hr,kg m-2 s-1,Surface Snow Melt,surface_snow_melt_flux,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
tauu,mon,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauu,day,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauu,1hr,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauv,mon,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauv,day,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauv,1hr,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
sfcWindmax,mon,m s-1,Daily Maximum Near-Surface Wind Speed,wind_speed,TIER1,Maximum from all integrated time steps per day,area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time height10m,real,,,,,
sfcWindmax,day,m s-1,Daily Maximum Near-Surface Wind Speed,wind_speed,TIER1,Maximum from all integrated time steps per day,area: mean time: maximum,area: areacella,longitude latitude time height10m,real,,,,,
sund,mon,s,Daily Duration of Sunshine,duration_of_sunshine,TIER1,"The WMO definition of sunshine is that the surface incident radiative flux from the solar beam (i.e. excluding diffuse skylight) exceeds 120 W m-2. ""Duration"" is the length of time for which a condition holds.",time: sum within days time: mean over days,area: areacella,longitude latitude time,real,,,,,
sund,day,s,Daily Duration of Sunshine,duration_of_sunshine,TIER1,"The WMO definition of sunshine is that the surface incident radiative flux from the solar beam (i.e. excluding diffuse skylight) exceeds 120 W m-2. ""Duration"" is the length of time for which a condition holds.",time: sum,area: areacella,longitude latitude time,real,,,,,
rsdsdir,mon,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rsdsdir,day,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rsdsdir,1hr,W m-2,Surface Direct Downwelling Shortwave Radiation,surface_direct_downwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rsus,mon,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rsus,day,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rsus,1hr,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rlus,mon,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rlus,day,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rlus,1hr,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
rlut,mon,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rlut,day,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rlut,1hr,W m-2,TOA Outgoing Longwave Radiation,toa_outgoing_longwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsdt,mon,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsdt,day,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsdt,1hr,W m-2,TOA Incident Shortwave Radiation,toa_incoming_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsut,mon,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsut,day,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsut,1hr,W m-2,TOA Outgoing Shortwave Radiation,toa_outgoing_shortwave_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
hfls,mon,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfls,day,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfls,1hr,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfss,mon,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfss,day,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfss,1hr,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfso,mon,W m-2,Surface Downeard Ground Heat Flux,surface_downward_ground_heat_flux,TIER2,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfso,day,W m-2,Surface Downeard Ground Heat Flux,surface_downward_ground_heat_flux,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfso,1hr,W m-2,Surface Downeard Ground Heat Flux,surface_downward_ground_heat_flux,TIER2,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
mrfso,mon,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrfso,day,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrfso,6hr,kg m-2,Soil Frozen Water Content,soil_frozen_water_content,TIER1,"The mass of frozen water per unit area, summed over all soil layers. Reported as missing for grid cells with no land.",area: mean where land time: point,area: areacella,longitude latitude time1,real,,,,,
mrfsos,mon,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),area: time: mean,area: areacella,longitude latitude time,real,,,,,
mrfsos,day,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),area: time: mean,area: areacella,longitude latitude time,real,,,,,
mrfsos,1hr,kg m-2,Frozen Water Content in Upper Portion of Soil Column,frozen_water_content_of_soil_layer,TIER1,The mass of frosen water  in the upper 10cm of the soil layer. Reported as missing for grid cells with no land. (not in CMIP),area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
mrsfl,mon,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
mrsfl,day,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
mrsfl,6hr,kg m-2,Frozen Water Content of Soil Layer,frozen_water_content_of_soil_layer,TIER1,"The mass of frosen water in each soil layer (3D variable). Reported as missing for grid cells with no land. (not in CMIP) [mrfsol -> mrsfl, 2022.09.22, https://github.com/WCRP-CORDEX/cordex-cmip6-data-request/issues/2 ]",area: mean where land time: point,area: areacella,longitude latitude sdepth time1,real,,,,,
mrso,mon,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrso,day,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrso,6hr,kg m-2,Total Soil Moisture Content,mass_content_of_water_in_soil,TIER1,"The mass of water in all phases per unit area, summed over all soil layers.",area: mean where land time: point,area: areacella,longitude latitude time1,real,,,,,
mrsos,mon,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrsos,day,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
mrsos,1hr,kg m-2,Moisture in Upper Portion of Soil Column,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in the upper 10cm of the soil layer. Reported as missing for grid cells with no land.,area: mean where land time: point,area: areacella,longitude latitude time1,real,,,,,
mrsol,mon,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
mrsol,day,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: mean,area: areacella,longitude latitude sdepth time,real,,,,,
mrsol,6hr,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,TIER1,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,area: mean where land time: point,area: areacella,longitude latitude sdepth time1,real,,,,,
snw,mon,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
snw,day,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
snw,6hr,kg m-2,Surface Snow Amount,surface_snow_amount,TIER1,,area: mean where land time: point,area: areacella,longitude latitude time1,real,,,,,
snc,mon,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
snc,day,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
snc,6hr,%,Snow Area Percentage,surface_snow_area_fraction,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
snd,mon,m,Snow Depth,surface_snow_thickness,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
snd,day,m,Snow Depth,surface_snow_thickness,TIER1,,area: mean where land time: mean,area: areacella,longitude latitude time,real,,,,,
snd,6hr,m,Snow Depth,surface_snow_thickness,TIER1,,area: mean where land time: point,area: areacella,longitude latitude time1,real,,,,,
siconca,mon,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,area: time: mean,area: areacella,longitude latitude time,real,,,,,
siconca,day,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,daily and monthly means,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zmla,mon,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zmla,day,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
zmla,1hr,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
prw,mon,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
prw,day,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
prw,1hr,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
clwvi,mon,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
clwvi,day,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
clwvi,1hr,kg m-2,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
clivi,mon,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
clivi,day,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
clivi,1hr,kg m-2,Ice Water Path,atmosphere_mass_content_of_cloud_ice,TIER1,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
ua1000,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
ua1000,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p1000,real,,,,,
ua1000,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
ua925,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
ua925,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
ua925,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
ua850,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
ua850,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
ua850,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
ua700,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
ua700,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
ua700,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
ua600,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
ua600,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p600,real,,,,,
ua600,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p600,real,,,,,
ua500,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
ua500,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
ua500,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
ua400,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
ua400,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p400,real,,,,,
ua400,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p400,real,,,,,
ua300,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
ua300,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p300,real,,,,,
ua300,6hr,m s-1,Eastward Wind,eastward_wind,TIER1,,area: mean time: point,area: areacella,longitude latitude time1 p300,real,,,,,
ua250,mon,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
ua250,day,m s-1,Eastward Wind,eastward_wind,TIER1,,area: time: mean,area: areacella,longitude latitude time p250,real,,,,,
